Date_SK,Date,Day,Month,Month_Name,Quarter,Year,Week,Day_Name,Is_Weekend
1,2015-01-01 0:00:00,1,1,January,1,2015,1,Thursday,0
2,2015-01-02 0:00:00,2,1,January,1,2015,1,Friday,0
3,2015-01-03 0:00:00,3,1,January,1,2015,1,Saturday,1
4,2015-01-04 0:00:00,4,1,January,1,2015,1,Sunday,1
5,2015-01-05 0:00:00,5,1,January,1,2015,2,Monday,0
6,2015-01-06 0:00:00,6,1,January,1,2015,2,Tuesday,0
7,2015-01-07 0:00:00,7,1,January,1,2015,2,Wednesday,0
8,2015-01-08 0:00:00,8,1,January,1,2015,2,Thursday,0
9,2015-01-09 0:00:00,9,1,January,1,2015,2,Friday,0
10,2015-01-10 0:00:00,10,1,January,1,2015,2,Saturday,1
11,2015-01-11 0:00:00,11,1,January,1,2015,2,Sunday,1
12,2015-01-12 0:00:00,12,1,January,1,2015,3,Monday,0
13,2015-01-13 0:00:00,13,1,January,1,2015,3,Tuesday,0
14,2015-01-14 0:00:00,14,1,January,1,2015,3,Wednesday,0
15,2015-01-15 0:00:00,15,1,January,1,2015,3,Thursday,0
16,2015-01-16 0:00:00,16,1,January,1,2015,3,Friday,0
17,2015-01-17 0:00:00,17,1,January,1,2015,3,Saturday,1
18,2015-01-18 0:00:00,18,1,January,1,2015,3,Sunday,1
19,2015-01-19 0:00:00,19,1,January,1,2015,4,Monday,0
20,2015-01-20 0:00:00,20,1,January,1,2015,4,Tuesday,0
21,2015-01-21 0:00:00,21,1,January,1,2015,4,Wednesday,0
22,2015-01-22 0:00:00,22,1,January,1,2015,4,Thursday,0
23,2015-01-23 0:00:00,23,1,January,1,2015,4,Friday,0
24,2015-01-24 0:00:00,24,1,January,1,2015,4,Saturday,1
25,2015-01-25 0:00:00,25,1,January,1,2015,4,Sunday,1
26,2015-01-26 0:00:00,26,1,January,1,2015,5,Monday,0
27,2015-01-27 0:00:00,27,1,January,1,2015,5,Tuesday,0
28,2015-01-28 0:00:00,28,1,January,1,2015,5,Wednesday,0
29,2015-01-29 0:00:00,29,1,January,1,2015,5,Thursday,0
30,2015-01-30 0:00:00,30,1,January,1,2015,5,Friday,0
31,2015-01-31 0:00:00,31,1,January,1,2015,5,Saturday,1
32,2015-02-01 0:00:00,1,2,February,1,2015,5,Sunday,1
33,2015-02-02 0:00:00,2,2,February,1,2015,6,Monday,0
34,2015-02-03 0:00:00,3,2,February,1,2015,6,Tuesday,0
35,2015-02-04 0:00:00,4,2,February,1,2015,6,Wednesday,0
36,2015-02-05 0:00:00,5,2,February,1,2015,6,Thursday,0
37,2015-02-06 0:00:00,6,2,February,1,2015,6,Friday,0
38,2015-02-07 0:00:00,7,2,February,1,2015,6,Saturday,1
39,2015-02-08 0:00:00,8,2,February,1,2015,6,Sunday,1
40,2015-02-09 0:00:00,9,2,February,1,2015,7,Monday,0
41,2015-02-10 0:00:00,10,2,February,1,2015,7,Tuesday,0
42,2015-02-11 0:00:00,11,2,February,1,2015,7,Wednesday,0
43,2015-02-12 0:00:00,12,2,February,1,2015,7,Thursday,0
44,2015-02-13 0:00:00,13,2,February,1,2015,7,Friday,0
45,2015-02-14 0:00:00,14,2,February,1,2015,7,Saturday,1
46,2015-02-15 0:00:00,15,2,February,1,2015,7,Sunday,1
47,2015-02-16 0:00:00,16,2,February,1,2015,8,Monday,0
48,2015-02-17 0:00:00,17,2,February,1,2015,8,Tuesday,0
49,2015-02-18 0:00:00,18,2,February,1,2015,8,Wednesday,0
50,2015-02-19 0:00:00,19,2,February,1,2015,8,Thursday,0
51,2015-02-20 0:00:00,20,2,February,1,2015,8,Friday,0
52,2015-02-21 0:00:00,21,2,February,1,2015,8,Saturday,1
53,2015-02-22 0:00:00,22,2,February,1,2015,8,Sunday,1
54,2015-02-23 0:00:00,23,2,February,1,2015,9,Monday,0
55,2015-02-24 0:00:00,24,2,February,1,2015,9,Tuesday,0
56,2015-02-25 0:00:00,25,2,February,1,2015,9,Wednesday,0
57,2015-02-26 0:00:00,26,2,February,1,2015,9,Thursday,0
58,2015-02-27 0:00:00,27,2,February,1,2015,9,Friday,0
59,2015-02-28 0:00:00,28,2,February,1,2015,9,Saturday,1
60,2015-03-01 0:00:00,1,3,March,1,2015,9,Sunday,1
61,2015-03-02 0:00:00,2,3,March,1,2015,10,Monday,0
62,2015-03-03 0:00:00,3,3,March,1,2015,10,Tuesday,0
63,2015-03-04 0:00:00,4,3,March,1,2015,10,Wednesday,0
64,2015-03-05 0:00:00,5,3,March,1,2015,10,Thursday,0
65,2015-03-06 0:00:00,6,3,March,1,2015,10,Friday,0
66,2015-03-07 0:00:00,7,3,March,1,2015,10,Saturday,1
67,2015-03-08 0:00:00,8,3,March,1,2015,10,Sunday,1
68,2015-03-09 0:00:00,9,3,March,1,2015,11,Monday,0
69,2015-03-10 0:00:00,10,3,March,1,2015,11,Tuesday,0
70,2015-03-11 0:00:00,11,3,March,1,2015,11,Wednesday,0
71,2015-03-12 0:00:00,12,3,March,1,2015,11,Thursday,0
72,2015-03-13 0:00:00,13,3,March,1,2015,11,Friday,0
73,2015-03-14 0:00:00,14,3,March,1,2015,11,Saturday,1
74,2015-03-15 0:00:00,15,3,March,1,2015,11,Sunday,1
75,2015-03-16 0:00:00,16,3,March,1,2015,12,Monday,0
76,2015-03-17 0:00:00,17,3,March,1,2015,12,Tuesday,0
77,2015-03-18 0:00:00,18,3,March,1,2015,12,Wednesday,0
78,2015-03-19 0:00:00,19,3,March,1,2015,12,Thursday,0
79,2015-03-20 0:00:00,20,3,March,1,2015,12,Friday,0
80,2015-03-21 0:00:00,21,3,March,1,2015,12,Saturday,1
81,2015-03-22 0:00:00,22,3,March,1,2015,12,Sunday,1
82,2015-03-23 0:00:00,23,3,March,1,2015,13,Monday,0
83,2015-03-24 0:00:00,24,3,March,1,2015,13,Tuesday,0
84,2015-03-25 0:00:00,25,3,March,1,2015,13,Wednesday,0
